InvoiceNo,Date,Month,Day,weekday/weekend,Year Qrt,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode,Revenue,Total cost,Profit margin,
INV1000125,"Wednesday, June 26, 2024",Jun,Wednesday,Weekday,2024-Q2,STR043,PRD0055,Accessories,2,5232.34,0,1074.72,New,Digital,10464.68,2149.44,8315.24,
INV1000126,"Monday, May 26, 2025",May,Monday,Weekday,2025-Q2,STR010,PRD0010,Clothing,3,1831.06,5,174.66,New,Card,5493.18,523.98,4969.2,
INV1000127,"Thursday, October 30, 2025",Oct,Thursday,Weekday,2025-Q4,STR050,PRD0080,Accessories,3,1571.18,0,540.55,New,Card,4713.54,1621.65,3091.89,
INV1000128,"Friday, February 21, 2025",Feb,Friday,Weekday,2025-Q1,STR047,PRD0031,Clothing,5,4863.15,15,1705.81,Returning,Digital,24315.75,8529.05,15786.7,
INV1000129,"Wednesday, September 4, 2024",Sep,Wednesday,Weekday,2024-Q3,STR013,PRD0048,Accessories,3,6879.58,5,645.84,Returning,Digital,20638.74,1937.52,18701.22,
INV1000130,"Thursday, March 27, 2025",Mar,Thursday,Weekday,2025-Q1,STR013,PRD0103,Shoes,3,5153.58,0,1603.42,Returning,Digital,15460.74,4810.26,10650.48,
INV1000131,"Sunday, February 23, 2025",Feb,Sunday,Weekend,2025-Q1,STR034,PRD0109,Shoes,2,1697.68,0,801.94,Returning,Cash,3395.36,1603.88,1791.48,
INV1000132,"Thursday, April 17, 2025",Apr,Thursday,Weekday,2025-Q2,STR029,PRD0114,Shoes,2,3317.01,0,356.24,Returning,Card,6634.02,712.48,5921.54,
INV1000133,"Friday, December 29, 2023",Dec,Friday,Weekday,2023-Q4,STR007,PRD0108,Shoes,4,5945.87,0,865.04,Returning,Cash,23783.48,3460.16,20323.32,
INV1000134,"Tuesday, August 5, 2025",Aug,Tuesday,Weekday,2025-Q3,STR006,PRD0003,Clothing,1,1651.66,5,705.97,Returning,Cash,1651.66,705.97,945.69,
INV1000135,"Tuesday, January 23, 2024",Jan,Tuesday,Weekday,2024-Q1,STR008,PRD0007,Clothing,3,1572.98,10,1894.92,Returning,Card,4718.94,5684.76,-965.82,
INV1000136,"Thursday, May 30, 2024",May,Thursday,Weekday,2024-Q2,STR019,PRD0055,Accessories,1,315.17,5,1252.89,Returning,Card,315.17,1252.89,-937.72,
INV1000137,"Tuesday, December 24, 2024",Dec,Tuesday,Weekday,2024-Q4,STR034,PRD0070,Accessories,4,5221.08,5,727.61,New,Cash,20884.32,2910.44,17973.88,
INV1000138,"Tuesday, July 8, 2025",Jul,Tuesday,Weekday,2025-Q3,STR005,PRD0045,Accessories,2,2638.92,0,267.42,New,Card,5277.84,534.84,4743,
INV1000139,"Sunday, November 2, 2025",Nov,Sunday,Weekend,2025-Q4,STR022,PRD0105,Shoes,4,5428.13,10,687.18,New,Cash,21712.52,2748.72,18963.8,
INV1000140,"Friday, May 30, 2025",May,Friday,Weekday,2025-Q2,STR013,PRD0114,Shoes,1,1101.72,5,515.61,Returning,Cash,1101.72,515.61,586.11,
INV1000141,"Wednesday, March 27, 2024",Mar,Wednesday,Weekday,2024-Q1,STR023,PRD0111,Shoes,1,6422.06,0,2022.25,Returning,Digital,6422.06,2022.25,4399.81,
INV1000142,"Sunday, May 4, 2025",May,Sunday,Weekend,2025-Q2,STR025,PRD0044,Accessories,3,9745.12,5,648.85,Returning,Card,29235.36,1946.55,27288.81,
INV1000143,"Tuesday, September 17, 2024",Sep,Tuesday,Weekday,2024-Q3,STR012,PRD0070,Accessories,3,3149.53,0,511.95,Returning,Cash,9448.59,1535.85,7912.74,
INV1000144,"Friday, February 7, 2025",Feb,Friday,Weekday,2025-Q1,STR029,PRD0006,Clothing,2,3770.66,10,1613.88,Returning,Card,7541.32,3227.76,4313.56,
INV1000145,"Wednesday, October 15, 2025",Oct,Wednesday,Weekday,2025-Q4,STR048,PRD0087,Shoes,3,1951.9,15,1621.11,New,Digital,5855.7,4863.33,992.37,
INV1000146,"Thursday, October 16, 2025",Oct,Thursday,Weekday,2025-Q4,STR024,PRD0047,Accessories,5,4013.69,10,299.75,Returning,Card,20068.45,1498.75,18569.7,
INV1000147,"Friday, March 15, 2024",Mar,Friday,Weekday,2024-Q1,STR034,PRD0047,Accessories,1,4160.93,0,309.37,Returning,Card,4160.93,309.37,3851.56,
INV1000148,"Thursday, August 7, 2025",Aug,Thursday,Weekday,2025-Q3,STR036,PRD0016,Clothing,2,1678,5,1026.52,New,Cash,3356,2053.04,1302.96,
INV1000149,"Sunday, October 19, 2025",Oct,Sunday,Weekend,2025-Q4,STR005,PRD0058,Accessories,8,1974.77,30,1612.11,Returning,Cash,15798.16,12896.88,2901.28,
INV1000150,"Friday, May 17, 2024",May,Friday,Weekday,2024-Q2,STR020,PRD0109,Shoes,4,1934.04,10,1042.72,New,Digital,7736.16,4170.88,3565.28,
